data_type,pii_data_point,token,is_active,hash,created_by,modified_by
FIRST_NAME,"vault:v1:uZrV9BBhd2WQnTQareEkoN1qgnlq4dnx/RsxzC90Q724",TKN_LK5AKXXK5K77_FIRST_NAME,true,21184707ec7924d868425e61cec53843,admin,system
LAST_NAME,"vault:v1:rPqGx27DPalE5DIGzohsAwIagK196p0aa7IhKlrs70/+6Q==",TKN_LK5AKXXK5K77_LAST_NAME,true,58d3d548f5d60a990842ab0527d59504,admin,system
EMAIL,"vault:v1:vQM9hSEIrrBUrDyyAzPjF8HjXKiPFCg0X3FGE7ja5cRHP1du2r2+e1lvNCLx+YAejy3TQIc=",TKN_LK5AKXXK5K77_EMAIL,true,d9b6b8d8061a892f2758441c10a0058d,admin,system
MOBILE_NUMBER,"vault:v1:zht3z24PeuUECsxtjstCTCefPhoxVfV3Jz2eioxOSe+2j07kcDg=",TKN_LK5AKXXK5K77_MOBILE_NUMBER,true,31091b57ca10f62e146aef0d78c2635c,admin,system
DATE_OF_BIRTH,"vault:v1:fXr90N2Bk9L+zMIAfF2cUFzWGODO7r1Ts+29iMHiRDrHssoSrL8=",TKN_LK5AKXXK5K77_DATE_OF_BIRTH,true,229bcb3b38fd46b26b6c6962afb5c188,admin,system
ADDRESS,"vault:v1:fJar/0nOG6PGm4SkPU/VVUGlbqsbX0ILsPE/7UWxdQ7ckNBvHmtaMBeZWTNrjmmxfxUsaSNjGbpyCO9kmCvFHaEUof7bJ4nEY8E/H+/z",TKN_LK5AKXXK5K77_ADDRESS,true,c3ca519276905bb712512523fa39dc34,admin,system
CITY,"vault:v1:YIOT8FPguccfFf7870x9aT861akRtOzSB43UWpQ0AHHeRAs1",TKN_LK5AKXXK5K77_CITY,true,a188763369517f5028524b31cf873d3b,admin,system
COUNTRY,"vault:v1:CAd4Ri0Eh1XoTLEKVxLeTB0KJdtt35UumGoU+Ji6qLHq",TKN_LK5AKXXK5K77_COUNTRY,true,3aed689e574db1724af3a47c66e9218a,admin,system
FIRST_NAME,"vault:v1:vMZHnpzVCUWnsqyFTnMr2myc3THlwtNTFgGTHziFVLQ=",TKN_IZQC6C5LBQZ4_FIRST_NAME,true,51b9e3c31650c449a1ef46946e245ec1,admin,admin
LAST_NAME,"vault:v1:dg+JLJFduCKLSt1C0kXuvg/bNQEmPIpe786OS4D7w73Q",TKN_IZQC6C5LBQZ4_LAST_NAME,true,41a87b0a8b030c30b88c305a06f2e86b,admin,admin
EMAIL,"vault:v1:4i+4bp68JefvGPly6D+PXP5dE/ZKhBOAzsJWKAtdEbZ6n7V8VPyoK1KV+ed/Ot6d",TKN_IZQC6C5LBQZ4_EMAIL,true,34c83e197d654b855c303cd7ec868f1f,admin,admin
MOBILE_NUMBER,"vault:v1:tCsT7xHyRWONpN7TQSc6EveB0CkzvTtko2htKEu7QbLfF9yATe0=",TKN_IZQC6C5LBQZ4_MOBILE_NUMBER,true,ec7f268930216586049df8b9b2099fac,admin,admin
DATE_OF_BIRTH,"vault:v1:VtNbkyrFHtA7gAnI/oblSDgnyp8bhL9qbhA7prQg0rVitJPRMNk=",TKN_IZQC6C5LBQZ4_DATE_OF_BIRTH,true,555c633267d0f1cf07b7820b3470494c,admin,admin
ADDRESS,"vault:v1:FT52DZ6Rrnj1G+M/EaioZzweoPtHvgWBg5I705USAQyIzyt8CA3zgBiMKKFpuX2aNUFrdf/O6L5/B4frmZ2i51s5btUcnJgHamspIvlUORfjvg==",TKN_IZQC6C5LBQZ4_ADDRESS,true,0160dc4b5630c7173b48fa0b1f038a3b,admin,admin
CITY,"vault:v1:Qomf3uoXbb9/MP4C2QP84qXB1Zmg/c76GO1DcMOXJgbGHg==",TKN_IZQC6C5LBQZ4_CITY,true,9be91ab5f0c6961a76f9dde84f3a91e4,admin,admin
COUNTRY,"vault:v1:UgchYcxIYgJnV4a4L1rYcckNxM8wIud7rvGYTpDoqMcI",TKN_IZQC6C5LBQZ4_COUNTRY,true,2c73933b42d134b586c43d39b20844aa,admin,admin
MIDDLE_NAME,"vault:v1:crJWCayr0gkYbsEJYD1pGhcryckN3y8p/II60yo77Q==",TKN_IZQC6C5LBQZ4_MIDDLE_NAME,true,2bcb80b443d998265761add1daed5b72,admin,admin
PAN_CARD,"vault:v1:cndXk+sP5GM2LRxNacNCte+U8clp3TED8P6lemFprZi8rZi6qVM=",TKN_IZQC6C5LBQZ4_PAN_CARD,true,763af807f8fdfd2ea72eb9d1f49bf2b3,admin,admin
FIRST_NAME,"vault:v1:yjYAJflwGK9JwVMxAsj71BWY2x5wH7L6p+MFWYm9vqKD7Q==",TKN_1COPSSC7GEH1_FIRST_NAME,false,fda8fc51ce454e8fdb1f3eab75bc04c3,system,admin
LAST_NAME,"vault:v1:/93bKehBM04iD54HyyTT14y8VYkVlDPUj/M4RPh4kw==",TKN_1COPSSC7GEH1_LAST_NAME,false,4741f337d82f2bc4499c85313b1b672b,system,admin
