data_type,pii_data_point,token,is_active,hash,created_by,modified_by
FIRST_NAME,"Shaan",TKN_LK5AKXXK5K77_FIRST_NAME,true,21184707ec7924d868425e61cec53843,admin,system
LAST_NAME,"Tanaka",TKN_LK5AKXXK5K77_LAST_NAME,true,58d3d548f5d60a990842ab0527d59504,admin,system
EMAIL,"Shaan_Tanaka5@hotmail.com",TKN_LK5AKXXK5K77_EMAIL,true,d9b6b8d8061a892f2758441c10a0058d,admin,system
MOBILE_NUMBER,"7487343851",TKN_LK5AKXXK5K77_MOBILE_NUMBER,true,31091b57ca10f62e146aef0d78c2635c,admin,system
DATE_OF_BIRTH,"1958-10-29",TKN_LK5AKXXK5K77_DATE_OF_BIRTH,true,229bcb3b38fd46b26b6c6962afb5c188,admin,system
ADDRESS,"120 Gerlach Rapid, Violabury, Virginia, 89995-4557",TKN_LK5AKXXK5K77_ADDRESS,true,c3ca519276905bb712512523fa39dc34,admin,system
CITY,"Jabalpur",TKN_LK5AKXXK5K77_CITY,true,a188763369517f5028524b31cf873d3b,admin,system
COUNTRY,"India",TKN_LK5AKXXK5K77_COUNTRY,true,3aed689e574db1724af3a47c66e9218a,admin,system
FIRST_NAME,"Wang",TKN_IZQC6C5LBQZ4_FIRST_NAME,true,51b9e3c31650c449a1ef46946e245ec1,admin,admin
LAST_NAME,"Liang",TKN_IZQC6C5LBQZ4_LAST_NAME,true,41a87b0a8b030c30b88c305a06f2e86b,admin,admin
EMAIL,"Wang.Liang@yahoo.com",TKN_IZQC6C5LBQZ4_EMAIL,true,34c83e197d654b855c303cd7ec868f1f,admin,admin
MOBILE_NUMBER,"7718211787",TKN_IZQC6C5LBQZ4_MOBILE_NUMBER,true,ec7f268930216586049df8b9b2099fac,admin,admin
DATE_OF_BIRTH,"1953-03-03",TKN_IZQC6C5LBQZ4_DATE_OF_BIRTH,true,555c633267d0f1cf07b7820b3470494c,admin,admin
ADDRESS,"6716 Veronica Curve, Christfield, Arkansas, 63800-1576",TKN_IZQC6C5LBQZ4_ADDRESS,true,0160dc4b5630c7173b48fa0b1f038a3b,admin,admin
CITY,"Nagpur",TKN_IZQC6C5LBQZ4_CITY,true,9be91ab5f0c6961a76f9dde84f3a91e4,admin,admin
COUNTRY,"India",TKN_IZQC6C5LBQZ4_COUNTRY,true,2c73933b42d134b586c43d39b20844aa,admin,admin
MIDDLE_NAME,"Bin",TKN_IZQC6C5LBQZ4_MIDDLE_NAME,true,2bcb80b443d998265761add1daed5b72,admin,admin
PAN_CARD,"RBJSB1262Q",TKN_IZQC6C5LBQZ4_PAN_CARD,true,763af807f8fdfd2ea72eb9d1f49bf2b3,admin,admin
